0, 0
3, 16383
515, 16374
1033, 16352
1543, 16309
2057, 16255
2562, 16183
3074, 16094
3573, 15988
4079, 15870
4571, 15732
5068, 15579
5548, 15415
6034, 15232
6508, 15036
6979, 14825
7439, 14599
7898, 14354
8342, 14101
8785, 13831
9211, 13549
9628, 13256
10037, 12950
10446, 12622
10839, 12289
11216, 11943
11584, 11587
11943, 11216
12289, 10839
12622, 10446
12950, 10037
13256, 9628
13549, 9211
13835, 8779
14101, 8342
14360, 7890
14599, 7439
14825, 6979
15036, 6508
15234, 6026
15415, 5548
15583, 5058
15732, 4571
15870, 4073
15988, 3573
16096, 3066
16183, 2562
16255, 2051
16309, 1543
16352, 1033
16374, 515
