0, 0
0, 16384
514, 16376
1030, 16352
1542, 16312
2052, 16256
2564, 16182
3070, 16094
3576, 15990
4074, 15868
4570, 15734
5064, 15582
5550, 15416
6032, 15234
6508, 15038
6976, 14826
7438, 14600
7894, 14358
8340, 14104
8778, 13836
9210, 13550
9630, 13254
10044, 12946
10444, 12626
10834, 12290
11218, 11942
11586, 11586
11944, 11218
12290, 10836
12624, 10444
12946, 10042
13256, 9630
13552, 9208
13832, 8780
14104, 8340
14356, 7892
14600, 7438
14824, 6978
15036, 6508
15234, 6030
15416, 5550
15582, 5064
15732, 4572
15870, 4076
15990, 3576
16094, 3072
16182, 2562
16254, 2052
16310, 1544
16348, 1028
16374, 514
